steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
5,15,3,15,True,True,11,1200,250,400,0.02,45,50,0.9000000000000001,2.415735100003076,0.11647929999162443,0.05976118060970882,5.975726495336941,98.33862433255537
5,15,3,15,True,True,11,1160,200,500,0.02,45,45,0.9000000000000001,3.326241399976425,0.14275689999340102,0.059911211700949416,5.981481625624198,98.95991817734998
5,15,3,15,True,True,5,1080,250,300,0.02,45,45,0.9000000000000001,0.9518209000088973,0.08655330000328831,0.059685205245469795,5.967341275500674,98.29483002880481
5,15,3,15,True,True,12,1260,250,300,0.02,50,40,1.0,1.9045490999997128,0.09610819998488296,0.059473095597156043,5.937607911694309,97.57079271594435
5,15,3,15,True,True,10,1340,200,400,0.01,50,40,1.0,2.4011852000112412,0.1081710000289604,0.05961652597730307,5.934168355663381,97.99580700858553
5,15,3,15,True,True,10,1380,150,300,0.01,50,40,1.0,1.9837953000096604,0.09208349999971688,0.0602350089331408,5.9783450543652386,98.96839536764618
5,15,3,15,True,True,10,1260,200,300,0.01,50,40,1.0,1.7632889000233263,0.09604229999240488,0.060469535659084375,6.005256338608813,99.4202986173741
5,15,3,15,True,True,9,1340,150,500,0.01,50,40,1.0,2.942289600003278,0.1351553000131389,0.059434401323744654,5.927813094729591,97.84629134045113
5,15,3,15,True,True,9,1460,100,400,0.01,50,40,1.0,2.802618399990024,0.11936460000288207,0.05942879613826572,5.912449702293745,97.58509656891229
5,15,3,15,True,True,9,1440,150,500,0.01,50,40,1.0,3.0622915999992983,0.14585339999757707,0.059434401323744654,5.927813094729591,97.84629134045113
5,15,3,15,True,True,9,1440,100,500,0.01,50,40,1.0,3.485840499983169,0.14168970001628622,0.0595475637703355,5.938746086257639,98.32547298577734
5,15,3,15,True,True,9,1500,100,500,0.01,50,40,1.0,4.256148799991934,0.1537504000152694,0.0595475637703355,5.938746086257639,98.32547298577734
