steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
10,15,3,5,True,True,10,260,350,500,0.04,30,45,0.4,21.224070700001903,0.9038183000011486,0.060696062229621546,6.10995354995888,106.58802360228083
10,15,3,5,True,True,10,1180,450,500,0.03,35,40,0.5,24.192621399990458,0.8554252000030829,0.06101525833093973,6.16899107570719,107.46314057822144
10,15,3,5,True,True,9,200,300,500,0.04,35,45,0.4,21.134079800001928,0.9001220000063768,0.060749891851151254,6.108509373746066,106.63730857516043
10,15,3,5,True,True,11,280,400,100,0.05,40,40,0.4,5.134398900008819,0.17424270000628894,0.06301897008200165,6.384904590427035,111.1069446175141
10,15,3,5,True,True,10,360,350,500,0.03,30,45,0.5,22.356497999993735,0.8882226999849081,0.060684969077749736,6.103148438803024,106.91212218449122
10,15,3,1,True,True,9,480,300,500,0.04,40,50,0.30000000000000004,120.03946549999819,4.341714400005003,0.06625877014246492,6.803360007406117,135.16010193653958
10,15,3,5,True,True,11,160,250,500,0.05,30,45,0.4,24.87441840000247,1.01428709999891,0.0607087386906085,6.095781804154698,106.35295111733002
10,15,5,5,True,True,11,160,250,500,0.05,35,40,0.5,24.639764699997613,1.0887501000106568,0.06166208005061047,6.204152157176124,109.98262442284606
10,15,3,3,True,True,11,320,250,500,0.05,30,50,0.4,42.993329200005974,1.865368300008413,0.061118431982693976,6.132902990638184,110.77007959074103
10,15,3,5,True,True,10,240,350,500,0.04,30,45,0.4,21.029388799994194,0.9037149999930989,0.060696062229621546,6.10995354995888,106.58802360228083
10,15,3,5,True,True,9,60,300,500,0.060000000000000005,35,45,0.4,20.14221330000146,0.9007579999961308,0.06113408255996334,6.142440428224326,107.71152766686093
10,15,3,5,True,True,10,140,400,500,0.05,25,45,0.4,19.597084100008942,0.8828461000011885,0.061041527161489854,6.15313674993303,107.8030975323079
